"","word","ar_orf","es_orf","mx_orf","aes_orf","ar_ord","es_ord","mx_ord","aes_ord"
"12246","díaaaaa",0.12,0,0,0.04,0.08,0,0,0.02
"12247","diabetes",0.36,0,0.4,0.23,0.16,0,0.25,0.12
"12248","diabla",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"12249","diablillo",0.12,0,0,0.04,0.08,0,0,0.02
"12250","diablito",0.12,0,0.8,0.27,0.08,0,0.17,0.07
"12251","diablo",2.39,4.4,19.4,8.05,1.02,1.75,3.53,2.02
"12252","diablos",0.96,4.59,5.05,3.57,0.62,1.42,2.02,1.35
"12253","diabluras",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12254","diabólica",0.12,0.1,0.27,0.15,0.08,0.05,0.17,0.09
"12255","diagnóstica",0.12,0,0,0.04,0.08,0,0,0.02
"12256","diagnosticados",0.12,0,0,0.04,0.08,0,0,0.02
"12257","diagnóstico",0.96,0.19,0.8,0.61,0.55,0.11,0.25,0.28
"12258","diagonal",0.12,0,0.27,0.11,0.08,0,0.08,0.05
"12259","diagrama",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12260","diagramado",0.12,0,0,0.04,0.08,0,0,0.02
"12261","diajugando",0.12,0,0,0.04,0.08,0,0,0.02
"12262","díale",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12263","dialecto",0.36,0,0.13,0.15,0.16,0,0.08,0.07
"12264","dialoga",0.12,0,0,0.04,0.08,0,0,0.02
"12265","dialogábamos",0.12,0,0,0.04,0.08,0,0,0.02
"12266","dialogando",0.24,0,0,0.08,0.16,0,0,0.05
"12267","dialogar",0.6,0.38,0.27,0.42,0.23,0.16,0.17,0.19
"12268","dialogo",0.12,0,0,0.04,0.08,0,0,0.02
"12269","diálogo",1.91,1.24,1.06,1.41,0.78,0.27,0.34,0.44
"12270","diálogos",0.36,0.19,0.8,0.42,0.23,0.11,0.42,0.23
"12271","dialoguen",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12272","diamante",0.72,0.19,0.53,0.46,0.23,0.05,0.17,0.14
"12273","diamantes",0.36,0.77,1.06,0.72,0.23,0.33,0.42,0.33
"12274","diamanti",0.24,0,0,0.08,0.08,0,0,0.02
"12275","díame",0.48,0,0,0.15,0.08,0,0,0.02
"12276","diametralmente",0.12,0,0,0.04,0.08,0,0,0.02
"12277","diana",1.2,0.19,0.66,0.65,0.31,0.05,0.34,0.21
"12278","diantres",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12279","diapositiva",0.36,0,0,0.11,0.16,0,0,0.05
"12280","diapositivas",0.36,0,0,0.11,0.23,0,0,0.07
"12281","diaria",0.84,0.48,0.27,0.53,0.47,0.27,0.17,0.3
"12282","diariamente",0.36,0.38,0.53,0.42,0.23,0.22,0.25,0.23
"12283","diarias",0.24,0.48,0.13,0.3,0.16,0.22,0.08,0.16
"12284","diario",5.51,3.16,3.59,4.03,2.5,0.87,1.51,1.53
"12285","diarios",3.23,0.57,1.59,1.71,1.41,0.22,0.67,0.7
"12286","diarrea",0.48,0.29,0.13,0.3,0.23,0.16,0.08,0.16
"12287","días",70.37,82.56,69.89,75.07,9.06,8.58,8.74,8.77
"12288","diáspora",0.12,0,0,0.04,0.08,0,0,0.02
"12289","diastema",0.12,0,0,0.04,0.08,0,0,0.02
"12290","díaz",2.63,0.57,0.66,1.25,0.31,0.22,0.25,0.26
"12291","dibuijá",0.12,0,0,0.04,0.08,0,0,0.02
"12292","dibuijate",0.12,0,0,0.04,0.08,0,0,0.02
"12293","dibuja",0.84,0.48,0.13,0.49,0.47,0.16,0.08,0.23
"12294","dibujados",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12295","dibújale",0.12,0,0,0.04,0.08,0,0,0.02
"12296","dibujando",0.24,0.29,0.13,0.23,0.16,0.11,0.08,0.12
"12297","dibujante",0.12,1.05,0,0.46,0.08,0.22,0,0.12
"12298","dibujar",0.48,1.24,0.4,0.76,0.23,0.44,0.17,0.3
"12299","dibujaré",0.12,0,0,0.04,0.08,0,0,0.02
"12300","dibujarme",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12301","dibujaron",0.12,0,0,0.04,0.08,0,0,0.02
"12302","dibujas",0.24,0.48,0,0.27,0.16,0.16,0,0.12
"12303","dibujátelo",0.12,0,0,0.04,0.08,0,0,0.02
"12304","dibujé",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"12305","dibujito",0.12,0.29,0,0.15,0.08,0.11,0,0.07
"12306","dibujitos",0.12,0.38,0.13,0.23,0.08,0.05,0.08,0.07
"12307","dibujo",1.68,0.96,0.13,0.95,0.78,0.38,0.08,0.42
"12308","dibujó",0.36,0,0.53,0.27,0.23,0,0.25,0.14
"12309","dibujos",0.72,1.53,0.4,0.95,0.47,0.66,0.25,0.49
"12310","dibur",0.12,0,0,0.04,0.08,0,0,0.02
"12311","dicción",0.12,0,0,0.04,0.08,0,0,0.02
"12312","diccionario",0.24,0.48,0.13,0.3,0.16,0.27,0.08,0.19
"12313","dice",88.32,72.23,101.92,85.82,9.06,8.2,8.91,8.65
"12314","dicen",31.48,19.52,28.83,25.97,6.88,5.46,6.81,6.26
"12315","dices",7.54,43.34,25.38,26.85,2.03,6.83,6.64,5.35
"12316","dícese",0.36,0,0,0.11,0.16,0,0,0.05
"12317","dich",0.36,0,0,0.11,0.08,0,0,0.02
"12318","dicha",2.15,0.57,1.06,1.22,0.78,0.27,0.42,0.47
"12319","dichas",0.24,0,0.13,0.11,0.08,0,0.08,0.05
"12320","dicho",23.58,103.99,41.59,60.64,5.55,7.6,7.65,7
"12321","dichos",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"12322","dichoso",0.36,0.57,1.59,0.8,0.23,0.27,0.59,0.35
"12323","dichosos",0.12,0.29,0.66,0.34,0.08,0.16,0.42,0.21
"12324","diciembre",1.2,0.57,0.8,0.84,0.62,0.27,0.34,0.4
"12325","diciendo",21.42,17.22,14.88,17.89,6.02,5.14,5.46,5.49
"12326","diciéndole",0.12,0,0.53,0.19,0.08,0,0.34,0.12
"12327","diciéndome",0.36,1.05,0.4,0.65,0.23,0.55,0.25,0.37
"12328","diciéndonos",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12329","diciéndote",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"12330","dicimbre",0.12,0,0,0.04,0.08,0,0,0.02
"12331","dick",0.96,0.29,0.13,0.46,0.08,0.11,0.08,0.09
"12332","dickman",0.12,0,0,0.04,0.08,0,0,0.02
"12333","dicta",0.36,0.38,0.13,0.3,0.23,0.22,0.08,0.19
"12334","dictaban",0.12,0,0,0.04,0.08,0,0,0.02
"12335","dictado",0.12,0.19,0.4,0.23,0.08,0.05,0.25,0.12
"12336","dictadora",0.12,0,0,0.04,0.08,0,0,0.02
"12337","dictadores",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"12338","dictadura",2.27,1.05,0,1.14,0.62,0.27,0,0.3
"12339","dictaduras",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"12340","dictan",0.24,0,0,0.08,0.16,0,0,0.05
"12341","dictando",0.24,0,0,0.08,0.16,0,0,0.05
"12342","dictar",0.24,0.1,0.66,0.3,0.08,0.05,0.42,0.16
"12343","dictarte",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"12344","dictó",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12345","did",0.36,0.19,0.13,0.23,0.08,0.05,0.08,0.07
"12346","didáctica",0.12,0,0,0.04,0.08,0,0,0.02
"12347","didáctico",0.24,0,0.13,0.11,0.16,0,0.08,0.07
"12348","diderot",0.12,0,0,0.04,0.08,0,0,0.02
"12349","didn",0.24,0.1,0.27,0.19,0.16,0.05,0.08,0.09
"12350","didol",0.12,0,0,0.04,0.08,0,0,0.02
"12351","die",0.24,0.19,0.27,0.23,0.16,0.11,0.17,0.14
"12352","diebersson",0.24,0,0,0.08,0.08,0,0,0.02
"12353","dieci",0.12,0,0,0.04,0.08,0,0,0.02
"12354","diecinueve",0.96,0.57,0.27,0.61,0.55,0.22,0.17,0.3
"12355","dieciocho",1.56,0.77,1.2,1.14,0.55,0.44,0.5,0.49
"12356","dieciseis",0.12,0.38,0,0.19,0.08,0.11,0,0.07
"12357","dieciséis",0.6,0.96,0.66,0.76,0.31,0.38,0.34,0.35
"12358","diecisiete",0.48,0.38,0.27,0.38,0.31,0.22,0.17,0.23
"12359","diega",0.48,0,0,0.15,0.08,0,0,0.02
"12360","diego",14.96,7.37,3.85,8.77,1.02,0.44,0.67,0.67
"12361","diegol",0.12,0,0,0.04,0.08,0,0,0.02
"12362","dieguito",0.6,0.38,0,0.34,0.23,0.05,0,0.09
"12363","diente",0.12,0.77,0.4,0.46,0.08,0.38,0.17,0.23
"12364","dientes",3.23,4.02,2.26,3.27,1.48,1.37,1.09,1.33
"12365","dientitos",0.12,0,0,0.04,0.08,0,0,0.02
"12366","diera",1.44,2.2,1.46,1.75,0.94,1.15,0.84,1
"12367","dieran",0.72,0.48,5.05,1.86,0.39,0.27,1.76,0.72
"12368","diéresis",0.24,0,0,0.08,0.08,0,0,0.02
"12369","dieron",7.9,5.84,5.32,6.34,3.36,2.62,2.61,2.84
"12370","dies",0.12,0.48,0,0.23,0.08,0.05,0,0.05
"12371","diesel",0.48,0,0,0.15,0.16,0,0,0.05
"12372","diestra",0.36,0,0,0.11,0.08,0,0,0.02
"12373","diestro",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12374","dieta",1.08,1.15,0.53,0.95,0.62,0.6,0.34,0.53
"12375","dietética",0.12,0,0,0.04,0.08,0,0,0.02
"12376","dietrich",2.87,0,0,0.91,0.08,0,0,0.02
"12377","dieu",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"12378","diez",18.79,17.51,20.46,18.76,5.39,3.99,4.37,4.51
"12379","difamarnos",0.12,0,0,0.04,0.08,0,0,0.02
"12380","diferencia",5.74,3.83,3.19,4.25,2.42,1.91,1.6,1.98
"12381","diferenciar",0.24,0.19,0.13,0.19,0.16,0.11,0.08,0.12
"12382","diferenciarse",0.12,0,0,0.04,0.08,0,0,0.02
"12383","diferencias",1.68,0.48,0,0.72,0.7,0.22,0,0.3
"12384","diferente",4.31,8.04,5.58,6.15,2.34,2.84,2.61,2.63
"12385","diferentes",3.71,3.25,3.45,3.46,1.17,1.2,1.6,1.3
"12386","difference",0.12,0,0,0.04,0.08,0,0,0.02
"12387","dific",0.12,0,0,0.04,0.08,0,0,0.02
"12388","difíci",0.12,0,0,0.04,0.08,0,0,0.02
"12389","difícii",0.24,0,0,0.08,0.08,0,0,0.02
"12390","difícil",18.07,15.21,17.27,16.71,5.39,4.92,5.63,5.26
"12391","difíciles",1.08,1.63,1.73,1.48,0.62,0.87,1.01,0.84
"12392","difícilmente",0.84,0.1,0.13,0.34,0.23,0.05,0.08,0.12
"12393","dificulad",0.12,0,0,0.04,0.08,0,0,0.02
"12394","dificultad",1.8,0.67,0.4,0.95,0.86,0.33,0.25,0.47
"12395","dificultades",0.48,0.48,1.99,0.91,0.31,0.22,0.84,0.42
"12396","difundido",0.12,0,0,0.04,0.08,0,0,0.02
"12397","difundidos",0.12,0,0,0.04,0.08,0,0,0.02
"12398","difundió",0.36,0,0,0.11,0.23,0,0,0.07
"12399","difunta",0.12,0.19,0.4,0.23,0.08,0.11,0.17,0.12
"12400","difuntió",0.12,0,0,0.04,0.08,0,0,0.02
"12401","difuntir",0.12,0,0,0.04,0.08,0,0,0.02
"12402","difunto",0.72,0.38,2.66,1.14,0.39,0.22,1.09,0.51
"12403","difuntos",0.12,0.1,1.2,0.42,0.08,0.05,0.42,0.16
"12404","difusión",0.36,0,0,0.11,0.23,0,0,0.07
"12405","díg",0.12,0,0,0.04,0.08,0,0,0.02
"12406","diga",22.38,24.97,32.29,26.24,6.48,5.63,5.97,5.98
"12407","digai",0.12,0,0,0.04,0.08,0,0,0.02
"12408","digáis",0.12,1.24,0.13,0.57,0.08,0.6,0.08,0.3
"12409","digalé",0.12,0,0,0.04,0.08,0,0,0.02
"12410","dígale",4.43,5.45,5.85,5.24,2.03,1.97,2.27,2.07
"12411","dígales",0.24,0.77,1.59,0.84,0.16,0.33,0.76,0.4
"12412","dígalo",0.24,0.38,0.66,0.42,0.16,0.16,0.25,0.19
"12413","dígam",0.12,0,0,0.04,0.08,0,0,0.02
"12414","digamé",0.24,0,0,0.08,0.08,0,0,0.02
"12415","dígame",7.78,10.14,10.63,9.53,3.12,3.11,3.78,3.3
"12416","dígamelo",0.12,0.67,0.27,0.38,0.08,0.38,0.17,0.23
"12417","digamos",12.69,2.87,5.18,6.65,3.2,1.31,1.51,1.93
"12418","digámosle",0.24,0,0,0.08,0.16,0,0,0.05
"12419","digámoslo",0.24,0,0,0.08,0.16,0,0,0.05
"12420","digan",2.99,1.82,2.52,2.39,1.41,0.93,1.43,1.21
"12421","díganle",0.24,0.38,0.93,0.49,0.16,0.22,0.42,0.26
"12422","díganme",0.6,0.19,0.66,0.46,0.23,0.11,0.42,0.23
"12423","díganos",0.6,0.38,1.59,0.8,0.23,0.22,0.67,0.35
"12424","digas",20.7,28.32,20.33,23.62,6.17,5.96,5.55,5.91
"12425","digás",0.84,0,0,0.27,0.31,0,0,0.09
"12426","dígase",0.12,0,0,0.04,0.08,0,0,0.02
"12427","dígaselo",0.12,0.38,0.4,0.3,0.08,0.22,0.25,0.19
"12428","digerir",0.72,0.1,0.13,0.3,0.23,0.05,0.08,0.12
"12429","digestión",0.12,0.77,0.27,0.42,0.08,0.38,0.17,0.23
"12430","digestiva",0.12,0,0,0.04,0.08,0,0,0.02
"12431","digestivo",0.12,0.19,0.27,0.19,0.08,0.11,0.08,0.09
"12432","digestivos",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12433","digiera",0.12,0,0,0.04,0.08,0,0,0.02
"12434","digiese",0.12,0,0,0.04,0.08,0,0,0.02
"12435","digital",0.6,0.67,0,0.46,0.39,0.16,0,0.19
"12436","digitales",0.36,0.19,1.46,0.61,0.23,0.05,0.59,0.26
"12437","digitalización",0.12,0,0,0.04,0.08,0,0,0.02
"12438","digitalizar",0.36,0,0,0.11,0.08,0,0,0.02
"12439","digitalizarlos",0.12,0,0,0.04,0.08,0,0,0.02
"12440","digna",0.36,0.38,0.66,0.46,0.16,0.22,0.42,0.26
"12441","dignamente",0.24,0,0.27,0.15,0.16,0,0.17,0.09
"12442","dignas",0.12,0.19,0.27,0.19,0.08,0.11,0.17,0.12
"12443","digne",0.12,0,0,0.04,0.08,0,0,0.02
"12444","dignidad",2.63,1.63,2.92,2.32,1.09,0.82,1.26,1.02
"12445","dignifique",0.12,0,0,0.04,0.08,0,0,0.02
"12446","dignísimo",0.36,0,0,0.11,0.16,0,0,0.05
"12447","digno",0.96,0.86,2.13,1.25,0.55,0.49,1.26,0.72
"12448","digo",89.28,50.99,72.42,69.26,8.98,7.1,8.32,8
"12449","diije",0.24,0,0,0.08,0.08,0,0,0.02
"12450","diítas",0.12,0,0,0.04,0.08,0,0,0.02
"12451","dije",61.75,35.78,48.77,47.73,8.75,6.89,8.32,7.84
"12452","dijera",2.87,1.15,1.59,1.82,1.41,0.6,0.92,0.93
"12453","dijéramos",0.12,0.1,0.27,0.15,0.08,0.05,0.08,0.07
"12454","dijeran",0.36,0.29,1.73,0.72,0.23,0.16,0.84,0.37
"12455","dijeras",0.24,0.57,0.13,0.34,0.16,0.33,0.08,0.21
"12456","dijeron",12.93,6.51,5.85,8.35,4.45,2.57,2.52,3.12
"12457","dijese",0.12,0.29,0.27,0.23,0.08,0.16,0.17,0.14
"12458","dijimos",2.51,1.15,0.8,1.48,1.41,0.55,0.5,0.79
"12459","dijiste",25.85,13.01,18.07,18.53,6.41,4.21,5.8,5.3
"12460","dijíste",0.12,0,0,0.04,0.08,0,0,0.02
"12461","dijistes",0.12,0,0.27,0.11,0.08,0,0.17,0.07
"12462","dijo",77.07,47.45,80.52,66.3,9.14,7.6,8.32,8.26
"12463","díjole",0.12,0,0,0.04,0.08,0,0,0.02
"12464","díjonoslo",0.12,0,0,0.04,0.08,0,0,0.02
"12465","dijste",0.36,0,0,0.11,0.16,0,0,0.05
"12466","díla",0.12,0,0,0.04,0.08,0,0,0.02
"12467","dilatando",0.12,0,0,0.04,0.08,0,0,0.02
"12468","dilate",0.12,0,0.27,0.11,0.08,0,0.17,0.07
"12469","dilatoria",0.12,0,0,0.04,0.08,0,0,0.02
"12470","dile",3.47,17.41,11.56,11.32,1.17,4.64,4.71,3.63
"12471","dilema",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"12472","dilemas",0.12,0,0,0.04,0.08,0,0,0.02
"12473","diles",0.36,2.39,1.99,1.63,0.23,1.04,0.92,0.77
"12474","diligencia",0.12,0.19,0.93,0.38,0.08,0.11,0.25,0.14
"12475","diligencias",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"12476","diligenciosa",0.12,0,0,0.04,0.08,0,0,0.02
"12477","diliges",0.12,0,0,0.04,0.08,0,0,0.02
"12478","diller",0.12,0,0,0.04,0.08,0,0,0.02
"12479","dillinger",0.24,0.1,0,0.11,0.08,0.05,0,0.05
"12480","dilo",0.12,1.82,1.06,1.06,0.08,0.87,0.5,0.53
"12481","diluído",0.12,0,0,0.04,0.08,0,0,0.02
"12482","diluirse",0.12,0,0,0.04,0.08,0,0,0.02
"12483","diluvio",0.24,0.67,0.4,0.46,0.16,0.16,0.25,0.19
"12484","dimas",0.36,0.38,0,0.27,0.08,0.11,0,0.07
"12485","dime",5.98,26.21,20.86,18.27,1.64,5.96,5.55,4.56
"12486","dímelo",0.48,4.11,2.79,2.58,0.31,1.8,1.18,1.19
"12487","dimensión",0.24,0.38,0.4,0.34,0.08,0.22,0.25,0.19
"12488","dimensiones",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"12489","dimes",0.12,0,0,0.04,0.08,0,0,0.02
"12490","diminuta",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12491","diminutas",0.12,0,0,0.04,0.08,0,0,0.02
"12492","diminutos",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"12493","dimos",2.03,0.77,1.46,1.37,1.17,0.44,0.84,0.77
"12494","dinamarquesa",0.12,0,0,0.04,0.08,0,0,0.02
"12495","dinámica",0.12,0.29,0,0.15,0.08,0.05,0,0.05
"12496","dinámicas",0.48,0,0,0.15,0.08,0,0,0.02
"12497","dinámicos",0.12,0,0,0.04,0.08,0,0,0.02
"12498","dinamitero",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"12499","dinamizan",0.12,0,0,0.04,0.08,0,0,0.02
"12500","dinamizó",0.12,0,0,0.04,0.08,0,0,0.02
"12501","dineral",0.24,0.19,0.13,0.19,0.16,0.11,0.08,0.12
"12502","dinero",30.04,67.64,86.37,61.06,4.53,6.45,7.39,6.14
"12503","dineros",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12504","dinki",0.36,0,0,0.11,0.16,0,0,0.05
"12505","dino",0.36,0,0.13,0.15,0.08,0,0.08,0.05
"12506","dinos",0.12,0.77,1.46,0.76,0.08,0.33,0.67,0.35
"12507","dinosaurios",0.24,0,0.13,0.11,0.16,0,0.08,0.07
"12508","dio",23.1,11.1,24.98,18.87,6.95,3.93,6.22,5.47
"12509","dió",0.96,1.91,1.06,1.37,0.47,0.49,0.59,0.51
"12510","dior",0.12,0,0,0.04,0.08,0,0,0.02
"12511","dios",68.69,91.84,111.75,90.19,7.42,7.49,8.4,7.72
"12512","diós",0.36,0,0,0.11,0.08,0,0,0.02
"12513","díos",0.12,0,0,0.04,0.08,0,0,0.02
"12514","diosa",0.96,0.96,0.4,0.8,0.31,0.27,0.17,0.26
"12515","dioses",0.48,1.24,2.26,1.29,0.31,0.27,0.5,0.35
"12516","diosito",0.12,0,3.72,1.1,0.08,0,1.43,0.42
"12517","diploma",0.84,0.29,0.4,0.49,0.31,0.16,0.25,0.23
"12518","diplomas",0.72,0.19,0.13,0.34,0.23,0.05,0.08,0.12
"12519","diplomáticamente",0.12,0,0,0.04,0.08,0,0,0.02
"12520","diplomático",0.48,0.19,0.66,0.42,0.31,0.11,0.25,0.21
"12521","diptongo",0.12,0,0,0.04,0.08,0,0,0.02
"12522","diptongonante",0.12,0,0,0.04,0.08,0,0,0.02
"12523","diputada",0.12,0.19,0,0.11,0.08,0.05,0,0.05
"12524","diputado",0.48,0.1,1.99,0.76,0.16,0.05,0.34,0.16
"12525","diputados",0.24,0.38,0.13,0.27,0.16,0.11,0.08,0.12
"12526","diques",0.12,0,0,0.04,0.08,0,0,0.02
"12527","dirá",2.99,5.17,4.65,4.33,1.48,2.08,2.1,1.91
"12528","dirán",0.48,1.34,2.13,1.29,0.23,0.71,1.09,0.67
"12529","dirás",0.84,4.97,1.73,2.73,0.55,1.97,0.92,1.26
"12530","diré",2.75,10.62,8.11,7.4,1.25,3.55,3.03,2.72
"12531","direc",0.12,0,0,0.04,0.08,0,0,0.02
"12532","dirección",9.1,10.14,8.24,9.27,3.44,2.84,3.19,3.12
"12533","direcciones",0.84,0.77,0.13,0.61,0.47,0.38,0.08,0.33
"12534","directa",0.48,1.05,0.66,0.76,0.31,0.49,0.34,0.4
"12535","directamente",5.39,3.35,1.86,3.57,2.58,1.48,0.92,1.65
"12536","directiva",1.2,0,1.46,0.8,0.31,0,0.34,0.19
"12537","directivas",0.12,0,0,0.04,0.08,0,0,0.02
"12538","directividad",0.12,0,0,0.04,0.08,0,0,0.02
"12539","directivo",0.12,0,0,0.04,0.08,0,0,0.02
"12540","directivos",0.36,0,0.27,0.19,0.23,0,0.17,0.12
"12541","directo",1.91,2.3,0.66,1.71,1.09,1.2,0.42,0.95
"12542","director",9.45,9.18,12.89,10.33,2.19,2.08,2.18,2.14
"12543","directora",1.56,1.15,1.86,1.48,0.47,0.44,0.42,0.44
"12544","directores",0.48,0.29,1.73,0.76,0.31,0.16,0.42,0.28
"12545","directorio",0.96,0,0.13,0.34,0.47,0,0.08,0.16
"12546","diremos",0.12,0.48,0.53,0.38,0.08,0.16,0.34,0.19
"12547","diretes",0.12,0,0,0.04,0.08,0,0,0.02
"12548","diría",5.98,6.41,4.78,5.81,2.97,2.73,2.18,2.65
"12549","diríamos",0.12,0.19,0.13,0.15,0.08,0.11,0.08,0.09
"12550","dirían",0.6,0.1,0.13,0.27,0.16,0.05,0.08,0.09
"12551","dirías",0.84,0.48,0.66,0.65,0.47,0.22,0.25,0.3
"12552","diríase",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12553","dirige",0.84,1.15,0.8,0.95,0.47,0.66,0.42,0.53
"12554","dirigen",0.48,0,0.4,0.27,0.31,0,0.25,0.16
"12555","dirigencia",0.36,0,0.13,0.15,0.23,0,0.08,0.09
"12556","dirigente",1.08,0.19,0.4,0.53,0.31,0.11,0.17,0.19
"12557","dirigentes",0.36,0.19,0,0.19,0.16,0.11,0,0.09
"12558","dirigida",0.36,0.57,1.46,0.76,0.23,0.11,0.5,0.26
"12559","dirigidas",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"12560","dirigiendo",0.12,0.19,0.13,0.15,0.08,0.11,0.08,0.09
"12561","dirigiéndose",0.12,0,0,0.04,0.08,0,0,0.02
"12562","dirigimos",0.12,0.57,0,0.27,0.08,0.27,0,0.14
"12563","dirigió",0.72,0.38,2.13,0.99,0.39,0.16,0.5,0.33
"12564","dirigir",0.96,0.96,1.46,1.1,0.39,0.55,0.67,0.53
"12565","dirigirme",0.12,0.19,0.4,0.23,0.08,0.11,0.25,0.14
"12566","dirigirse",0.24,0.29,0.13,0.23,0.16,0.11,0.08,0.12
"12567","dirija",0.48,0.1,0.53,0.34,0.31,0.05,0.34,0.21
"12568","diríjanse",0.12,0,0,0.04,0.08,0,0,0.02
"12569","diríjase",0.36,0.19,0.13,0.23,0.16,0.05,0.08,0.09
"12570","dirijo",0.24,0.67,0.27,0.42,0.16,0.33,0.17,0.23
"12571","dirparar",0.36,0,0,0.11,0.08,0,0,0.02
"12572","disc",0.6,0.1,0,0.23,0.08,0.05,0,0.05
"12573","discapacidad",0.24,0,0,0.08,0.08,0,0,0.02
"12574","discapacitado",0.24,0,0,0.08,0.16,0,0,0.05
"12575","discar",0.12,0,0,0.04,0.08,0,0,0.02
"12576","discépolo",0.24,0,0,0.08,0.16,0,0,0.05
"12577","discerniendo",0.12,0,0,0.04,0.08,0,0,0.02
"12578","discernimiento",0.6,0,0,0.19,0.08,0,0,0.02
"12579","discernir",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12580","disciplina",2.03,1.72,1.86,1.86,0.86,0.6,0.67,0.7
"12581","disciplinada",0.12,0,0,0.04,0.08,0,0,0.02
"12582","disciplinaria",0.24,0,0,0.08,0.16,0,0,0.05
"12583","disciplinarias",0.12,0,0,0.04,0.08,0,0,0.02
"12584","disciplinas",0.36,0,0,0.11,0.16,0,0,0.05
"12585","discipline",0.12,0,0,0.04,0.08,0,0,0.02
"12586","discípula",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12587","discípulo",0.12,0.38,0.27,0.27,0.08,0.22,0.17,0.16
"12588","discípulos",0.48,0.48,0.66,0.53,0.31,0.11,0.17,0.19
"12589","disco",5.86,3.44,1.2,3.57,1.48,0.82,0.34,0.88
"12590","discóbola",0.24,0,0,0.08,0.08,0,0,0.02
"12591","discográfica",0.12,0,0.27,0.11,0.08,0,0.08,0.05
"12592","discográficas",0.12,0,0,0.04,0.08,0,0,0.02
"12593","díscola",0.12,0,0,0.04,0.08,0,0,0.02
"12594","discontinuó",0.12,0,0,0.04,0.08,0,0,0.02
"12595","discos",1.8,1.34,0.27,1.18,0.7,0.49,0.17,0.47
"12596","discoteca",0.48,1.24,0.13,0.68,0.31,0.33,0.08,0.26
"12597","discreción",0.72,0.86,0.27,0.65,0.47,0.49,0.17,0.4
"12598","discreciónnn",0.12,0,0,0.04,0.08,0,0,0.02
"12599","discreta",0.36,0.29,0.53,0.38,0.23,0.16,0.34,0.23
"12600","discretamente",0.24,0.38,0,0.23,0.16,0.22,0,0.14
"12601","discreto",0.6,0.86,0.27,0.61,0.39,0.38,0.17,0.33
"12602","discretos",0.24,0.19,0.27,0.23,0.16,0.11,0.17,0.14
"12603","discrimina",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"12604","discriminación",0.24,0.38,0,0.23,0.16,0.22,0,0.14
"12605","discriminados",0.12,0,0,0.04,0.08,0,0,0.02
"12606","discriminan",0.12,0,0.27,0.11,0.08,0,0.17,0.07
"12607","discriminatorio",0.12,0,0,0.04,0.08,0,0,0.02
"12608","discrimino",0.24,0,0,0.08,0.08,0,0,0.02
"12609","discul",0.12,0,0,0.04,0.08,0,0,0.02
"12610","disculpa",3.95,3.64,2.52,3.42,1.25,1.2,1.43,1.28
"12611","disculpá",2.15,0,0,0.68,0.86,0,0,0.26
"12612","disculpad",0.12,0,0.4,0.15,0.08,0,0.08,0.05
"12613","disculpado",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"12614","discúlpala",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"12615","disculpáme",0.72,0,0,0.23,0.23,0,0,0.07
"12616","discúlpame",13.16,0.96,0.4,4.67,3.44,0.49,0.25,1.3
"12617","disculpar",0.96,0.19,0.13,0.42,0.62,0.11,0.08,0.26
"12618","disculparlo",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"12619","disculpas",5.15,1.63,1.86,2.81,2.03,0.87,1.09,1.28
"12620","disculpás",0.24,0,0,0.08,0.16,0,0,0.05
"12621","disculpe",9.57,6.51,6.38,7.44,3.59,2.08,2.35,2.6
"12622","discúlpela",0.12,0.1,0,0.08,0.08,0.05,0,0.05
